zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2,pred_choice,model_text,true_choice,correct,price_ratio,difficulty,bedrooms_diff,bathrooms_diff,year_diff,lot_diff,feature_profile,is_correct
11472360,11509807,15241,2021/6/1,538823.9091,25.54545455,"Single Family Residence, Residential",1940,5,5,0.65,Acres,"Hot Water, Natural Gas","Central Air, Electric",unknown,690000.0,15241,2021/6/1,539758.4,24.73333333,"Single Family Residence, Residential",1972,3,3,0.43,Acres,"Forced Air, Natural Gas",Central Air,unknown,536000.0,1.0,"Let's think step by step:

- Type: Both are Single Family Residence → equal
- Bedrooms: Property 1 has 5 vs Property 2 has 3 → +2 bedrooms for Property 1
- Bathrooms: Property 1 has 5 vs Property 2 has 3 → +2 bathrooms for Property 1
- Lot size: Property 1 has 0.65 Acres vs Property 2 has 0.43 Acres → +0.22 Acres for Property 1 (a significant advantage)
- Year Built: Property 1 is 1940 vs Property 2 is 1972 → Property 1 is 32 years older → older age is a disadvantage
- Heating: Property 1 has Hot Water + Natural Gas vs Property 2 has Forced Air + Natural Gas → Hot Water is generally considered a higher-end, more efficient system than Forced Air → advantage for Property 1
- Cooling: Property 1 has Central Air + Electric vs Property 2 has Central Air → both have Central Air, so equal; Property 1 has an additional electric component (no disadvantage)
- Parking: Both have ""unknown"" → cannot compare → no advantage/disadvantage

Now, comparing the key value drivers:
- More bedrooms and bathrooms → clearly favor Property 1
- Larger lot → clearly favors Property 1
- Better heating system (Hot Water) → favors Property 1
- Older age → a disadvantage for Property 1, but in a market where newer homes are not necessarily more valuable if they lack key features, the superior size and amenities outweigh the age

Even though Property 1 is older, the combination of more bedrooms, more bathrooms, larger lot, and better heating system significantly increases its appeal and market value in a comparable market.

Property 2 has fewer rooms, smaller lot, and less modern heating — despite having central air, it lacks the key features that drive value in a single-family home.

CHOICE: 1",1.0,True,0.2873134328358209,hard,2,2,-32,0.22000000000000003,mixed,True
11510849,11511087,15212,2020/7/1,154216.3333,49.33333333,SingleFamily,1880,2,2,0.7,Acres,Other,unknown,unknown,240000.0,15212,2020/7/1,128063.3333,33.11111111,SingleFamily,1930,2,3,5401.0,sqft,Other,unknown,unknown,190126.0,1.0,"Let's think step by step:

- Type: Both are Single Family → equal
- Bedrooms: Property 2 has 3 beds vs Property 1 has 2 beds → +1 bedroom for Property 2
- Bathrooms: Both have 2 bathrooms → equal
- Lot size: Property 1 has 0.7 Acres. Convert to sqft: 0.7 × 43,560 = 30,492 sqft. Property 2 has 5,401 sqft.  
  → Property 1 has a lot of 30,492 sqft vs Property 2's 5,401 sqft → Property 1 has a much larger lot (over 5x larger)
- Year Built: Property 1 is 1880, Property 2 is 1930 → Property 2 is 50 years newer → more modern, potentially better systems, less maintenance
- Heating: Both listed as ""Other"" → no comparative advantage
- Cooling: Both listed as ""unknown"" → no comparative advantage
- Parking: Both listed as ""unknown"" → no comparative advantage

Now, evaluate the trade-offs:
- Property 1 has a much larger lot (30,492 sqft vs 5,401 sqft), which is a significant advantage in value, especially in a market where lot size contributes to value.
- Property 2 has one more bedroom (3 vs 2), which is a positive, but the lot size difference is substantial.
- Property 1 is older (1880 vs 1930), which may imply more maintenance or outdated systems, but the lot size and potential for larger outdoor space may offset this.

However, in real estate valuation, lot size is a major factor, especially in single-family homes. A 30,000+ sqft lot is significantly more valuable than a 5,400 sqft lot, even if the home is older.

Despite the age difference, the lot size advantage in Property 1 is substantial and likely outweighs the 50-year age gap and fewer bedrooms.

CHOICE: 1",1.0,True,0.26232077674805127,hard,-1,0,-50,-5400.3,bedrooms_dominant,True
11335477,11570532,15216,2021/5/1,173653.0909,20.18181818,"Single Family Residence, Residential",1939,1,3,5357.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,191000.0,15216,2021/5/1,199058.6667,18.55555556,"Single Family Residence, Residential",1920,2,3,4948.0,sqft,Natural Gas,Central Air,unknown,240000.0,2.0,"Let's think step by step:

- Type: Both are Single Family Residence → equal
- Bedrooms: Both have 3 bedrooms → equal
- Bathrooms: Property 1 has 1 bath, Property 2 has 2 baths → +1 bath for Property 2
- Lot size: Property 1 has 5357 sqft, Property 2 has 4948 sqft → Property 1 has a larger lot (+409 sqft)
- Year built: Property 1 was built in 1939, Property 2 in 1920 → Property 2 is 19 years older (older = less modern, potentially less desirable)
- Heating: Property 1 has Forced Air + Natural Gas, Property 2 has only Natural Gas → Property 1 has Forced Air, which is a more common and efficient system than just Natural Gas (though both have Natural Gas)
- Cooling: Both have Central Air → equal
- Parking: Both have ""unknown"" → cannot compare → no advantage either way

Now, comparing key value drivers:
- Bathrooms: Property 2 has 2 baths vs 1 → significant upgrade in luxury and usability
- Age: Property 2 is older (1920 vs 1939) → older homes may have outdated systems, less modern features, and potentially higher maintenance
- Lot size: Property 1 has a larger lot (5357 vs 4948) → +409 sqft, which is a modest but positive advantage
- Heating: Property 1 has Forced Air, which is generally more efficient and common than just Natural Gas (though both have Natural Gas)

However, the bathroom count is a strong differentiator — 2 baths vs 1 bath is a notable improvement in space and functionality, especially in a 3-bedroom home.

Even though Property 1 has a larger lot and better heating, the bath advantage in Property 2 is substantial and directly impacts market value.

Given that both homes are in the same market, same zip, same type, and same number of bedrooms, the key differentiator is bathrooms and age.

Property 2 is older (1920 vs 1939), which is a disadvantage, but the 2-bath vs 1-bath difference is a significant positive.

In real estate, bathrooms are a major value driver — especially in homes with 3 bedrooms.

Therefore, despite the age, Property 2 has a more favorable bathroom count.

CHOICE: 2",2.0,True,0.25654450261780104,hard,0,-1,19,409.0,bathrooms_dominant,True
11290461,11344264,15218,2020/9/1,239101.6,16.2,"Single Family Residence, Residential",1950,2,3,0.26,Acres,"Forced Air, Natural Gas",Electric,unknown,270850.0,15218,2020/9/1,269094.5,28.0,"Single Family Residence, Residential",1925,2,3,4114.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,213000.0,1.0,"Let's think step by step:

- Type: Both are Single Family Residence → equal
- Bedrooms: Both have 3 bedrooms → equal
- Bathrooms: Both have 2 bathrooms → equal
- Year Built: Property 1 is 1950, Property 2 is 1925 → Property 2 is 25 years older → older homes may have more wear, but in this context, older construction doesn't inherently reduce value unless specified. However, newer homes often have updated systems and better efficiency. But here, both have forced air and natural gas, so heating is comparable.
- Heating: Both have Forced Air and Natural Gas → equal
- Cooling: Property 1 has Electric cooling, Property 2 has Central Air → Central Air is generally more desirable than Electric cooling (especially in a hot climate like Pittsburgh, which is in ZIP 15218). Central Air provides better temperature control and comfort.
- Lot Size: Property 1 has 0.26 Acres → 0.26 × 43,560 = 11,325.6 sqft. Property 2 has 4114 sqft → clearly, Property 1 has a much larger lot (over 7,000 sqft larger). Larger lot size typically increases value, especially in a market where land is a factor.

Now compare:
- Property 1: Older (1950), electric cooling, large lot (11,325 sqft)
- Property 2: Older (1925), central air, smaller lot (4114 sqft)

Even though Property 2 is built earlier (1925 vs 1950), it has central air, which is a significant upgrade over electric cooling. However, the lot size difference is massive — over 7,000 sqft larger in Property 1.

In real estate, lot size is a strong driver of value, especially in suburban or single-family markets. Central air is a positive, but the lot size advantage in Property 1 is substantial and directly impacts market value.

Therefore, despite the older age of Property 1, the larger lot and better cooling (in Property 2) — but wait: Property 2 has central air, which is better than electric cooling.

But: Property 1 has a lot of 0.26 acres = 11,325 sqft, Property 2 has 4114 sqft → Property 1 has a lot size advantage of over 7,000 sqft.

In the same ZIP code and month, lot size is a key differentiator. Even if the home is older, a larger lot with better cooling may still be more valuable.

But wait: Property 2 has central air, which is a major upgrade over electric cooling. Electric cooling is less efficient and less reliable in hot weather.

So:
- Cooling: Property 2 wins (Central Air > Electric)
- Lot: Property 1 wins (much larger)
- Age: Property 2 is older (1925 vs 1950) — older homes may have more issues, but both have forced air and gas, so no major system differences.

But in a market where lot size is a major factor, and both homes have similar bedroom/bathroom counts, the larger lot in Property 1 gives it a clear edge.

However, central air is a significant upgrade. But in a 1950 home, electric cooling is common. In a 1925 home, central air is more likely to be present — so Property 2 has a better cooling system.

But the lot size difference is enormous — over 7,000 sqft. That’s a major value driver.

In real estate, lot size often outweighs minor system differences, especially in a market where land is valuable.

Therefore, despite the cooling advantage of Property 2, the lot size of Property 1 is far superior.

CHOICE: 1",1.0,True,0.2715962441314554,hard,0,0,25,-4113.74,year_dominant,True
11299770,11469737,15236,2021/10/1,235962.7119,18.6779661,"Single Family Residence, Residential",1930,2,2,2.44,Acres,"Forced Air, Natural Gas","Window A/C, Central Air",unknown,265000.0,15236,2021/10/1,214400.0,11.65517241,"Single Family Residence, Residential",1949,3,3,3162.0,sqft,Natural Gas,Central Air,unknown,216500.0,1.0,"Let's think step by step:

- Type: Both are Single Family Residence → equal
- Year Built: Property 1 is 1930, Property 2 is 1949 → Property 1 is 19 years older → older age generally reduces value, so Property 2 has a newer build
- Bedrooms: Property 2 has 3 vs Property 1's 2 → +1 bedroom for Property 2
- Bathrooms: Property 2 has 3 vs Property 1's 2 → +1 bathroom for Property 2
- Lot Size: Property 1 has 2.44 Acres → approximately 2.44 × 43,560 = 106,382 sqft  
  Property 2 has 3162 sqft → significantly smaller  
  → Property 1 has a much larger lot (over 100x larger in area) → this is a major advantage for Property 1
- Heating: Property 1 has Forced Air + Natural Gas, Property 2 has only Natural Gas  
  → Property 1 has Forced Air, which is generally more modern and efficient than basic forced air (though both have natural gas) — but this is a minor edge for Property 1
- Cooling: Property 1 has both Window A/C and Central Air → central air is more desirable than window A/C  
  Property 2 has only Central Air → Property 1 has a more modern and superior cooling system
- Parking: Both have ""unknown"" → cannot compare → no advantage either way

Now, comparing key value drivers:
- More bedrooms and bathrooms → Property 2 wins (+1 in each)
- Larger lot → Property 1 wins significantly (over 100,000 sqft vs ~3,160 sqft)
- Cooling: Property 1 has central air (better than window A/C), so Property 1 wins
- Heating: Property 1 has forced air (slightly better than just natural gas), so Property 1 wins
- Age: Property 2 is newer (1949 vs 1930) → Property 2 wins slightly on age

But: lot size is a massive differentiator. In residential real estate, lot size, especially in a given market, is a strong driver of value — particularly in a suburban or single-family context. A 2.44-acre lot is extremely large and rare, especially compared to a 3162 sqft lot. This alone gives Property 1 a substantial edge.

Even though Property 2 has more bedrooms, bathrooms, and a newer construction, the sheer size of the lot and superior cooling and heating systems in Property 1 outweigh these advantages.

CHOICE: 1",1.0,True,0.22401847575057737,hard,-1,-1,-19,-3159.56,lot_dominant,True
11369702,11408563,15229,2020/4/1,161952.3333,12.0,Townhouse,1984,2,2,1711.0,sqft,"Other, Gas",Central,unknown,168000.0,15229,2020/4/1,176780.4444,20.77777778,SingleFamily,1930,1,3,4480.0,sqft,"Forced air, Gas",Central,unknown,217575.0,2.0,"Let's think step by step:

- Type: Property 1 is a Townhouse, Property 2 is a Single Family. In most markets, Single Family homes are generally more valuable than Townhouses due to greater privacy, space, and perceived independence. (→ + value for P2)

- Year Built: Property 1 was built in 1984, Property 2 in 1930. Property 1 is 54 years newer, which is a significant advantage in terms of modern features, efficiency, and updated systems. (→ + value for P1)

- Bedrooms: Property 2 has 3 beds vs Property 1's 2 beds (+1 for P2)

- Bathrooms: Property 2 has 1 bath vs Property 1's 2 baths. That’s a -1 in bathrooms for P2. (→ disadvantage for P2)

- Lot Size: Property 2 has 4480 sqft vs Property 1's 1711 sqft. That’s a massive advantage for P2 (+2769 sqft). Larger lot size typically increases value, especially in a market where outdoor space is valued. (→ + value for P2)

- Heating: Both use Gas, and both have gas-based systems. Property 1 has ""Other, Gas"" — this is less specific than ""Forced Air, Gas"" in Property 2. Forced air is a common and reliable system; ""Other"" is less defined and potentially less desirable. (→ slight advantage for P2)

- Cooling: Both have Central Cooling — equal value.

- Parking: Both have ""unknown"" — no comparative advantage either way.

Now, comparing the trade-offs:

- P2 has more bedrooms (3 vs 2), larger lot (4480 vs 1711), and is newer (1984 vs 1930), despite having fewer bathrooms (1 vs 2).  
- P1 has a more modern type (1984 vs 1930), but is a townhouse (less valuable than single family), and has fewer bedrooms and a much smaller lot.

Even though P1 has 2 bathrooms, the lot size difference is enormous — over 2.6x larger. In a market where lot size is a key differentiator (especially in suburban or single-family areas), this is a major value driver.

Also, the type advantage (Single Family) is significant and not offset by the bathroom disadvantage.

Therefore, despite the older year built (1930), the combination of single-family status, larger lot, more bedrooms, and modern heating/cooling gives Property 2 a clear edge.

CHOICE: 2",2.0,True,0.2950892857142857,hard,-1,1,54,-2769.0,year_dominant,True
11412169,11444509,15238,2020/5/1,561836.2727,14.90909091,SingleFamily,1976,4,4,0.47,Acres,Other,Central,unknown,609375.0,15238,2020/5/1,617211.0,23.0,SingleFamily,1990,4,3,2661.0,sqft,"Other, Gas",Central,unknown,499900.0,1.0,"Let's think step by step:

- Type: Both are Single Family → equal
- Bedrooms: Property 1 has 4 vs Property 2 has 3 → +1 bedroom for Property 1
- Bathrooms: Both have 4 → equal
- Lot size: Property 1 has 0.47 Acres → convert to sqft: 0.47 * 43,560 = 20,473.2 sqft  
  Property 2 has 2661.0 sqft → clearly much smaller lot (over 7 times smaller) → +20,473 - 2661 = +17,812 sqft for Property 1
- Year Built: Property 1 is 1976, Property 2 is 1990 → Property 2 is 14 years newer → newer = generally more valuable, but only if other features compensate
- Heating: Both listed as ""Other"" → no clear advantage; Property 2 adds ""Gas"" which may be a slight upgrade over ""Other"", but ""Other"" is vague and not clearly inferior
- Cooling: Both have Central → equal
- Parking: Both listed as ""unknown"" → cannot compare → no advantage either way

Now, comparing key value drivers:
- More bedrooms (4 vs 3) → Property 1 has a clear advantage
- Much larger lot (20,473 sqft vs 2,661 sqft) → Property 1 has a massive advantage in lot size
- Age: Property 2 is newer, but the difference is only 14 years, and in a market where lot size and bedroom count are strong drivers, the age difference is minor

Even though Property 2 has newer construction, the combination of more bedrooms and a significantly larger lot gives Property 1 a substantial edge in market value.

CHOICE: 1",1.0,True,0.21899379875975195,hard,1,0,-14,-2660.53,bedrooms_dominant,True
11432469,11510519,15241,2021/7/1,548368.8696,12.60869565,"Single Family Residence, Residential",1988,4,4,10628.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,550000.0,15241,2021/7/1,636881.9091,22.81818182,"Single Family Residence, Residential",1979,5,4,1.05,Acres,Electric,Central Air,unknown,685000.0,2.0,"Let's think step by step:

- Type: Both are Single Family Residence → equal
- Bedrooms: Both have 4 → equal
- Bathrooms: Property 1 has 4, Property 2 has 5 → +1 bath for Property 2
- Lot size: 
  - Property 1: 10,628 sqft
  - Property 2: 1.05 acres
  - Convert 1.05 acres to sqft: 1 acre = 43,560 sqft → 1.05 × 43,560 = 45,738 sqft
  - So Property 2 has 45,738 sqft vs Property 1's 10,628 sqft → +35,110 sqft for Property 2
- Year Built:
  - Property 1: 1988
  - Property 2: 1979 → Property 2 is 9 years older → older house, which generally implies more wear, but in some markets, older homes with good features can be valued higher. However, here we have a key advantage for Property 2 in lot size and bathrooms.
- Heating:
  - Property 1: Forced Air, Natural Gas → more common and often preferred over electric in many markets
  - Property 2: Electric → less common, especially in colder climates; may be a disadvantage
- Cooling:
  - Both have Central Air → equal
- Parking: Both have ""unknown"" → cannot compare → no advantage either way

Now, comparing key value drivers:
- Bathrooms: Property 2 has 5 vs 4 → +1 bath
- Lot size: Property 2 has over 45,000 sqft vs Property 1's ~10,600 sqft → massive advantage
- Age: Property 2 is older (1979 vs 1988) → slightly less desirable, but not a major factor when offset by lot and baths
- Heating: Property 1 has natural gas (often more efficient and preferred), but Property 2 has electric — a potential downside

However, in a market where lot size and bathroom count are strong drivers (especially in single-family homes), the larger lot and extra bathroom significantly increase value.

Even though Property 1 has natural gas heating (a slight edge), the lot size difference is enormous — over 35,000 sqft more — and the extra bathroom adds value.

Therefore, despite the older age and electric heating, Property 2 has more bedrooms (same), more bathrooms, and a much larger lot — all of which are direct, measurable value drivers.

CHOICE: 2",2.0,True,0.24545454545454545,hard,0,-1,9,10626.95,bathrooms_dominant,True
11441967,11617394,15237,2019/10/1,251708.0,10.0,SingleFamily,1962,3,3,0.01,Acres,"Forced air, Gas",Central,unknown,264500.0,15237,2019/10/1,274166.4615,17.23076923,SingleFamily,1949,3,4,0.37,Acres,"Forced air, Gas",Central,unknown,337000.0,2.0,"Let's think step by step:

- Type: Both are Single Family → equal
- Bedrooms: Property 1 has 3, Property 2 has 4 → +1 bedroom for Property 2
- Bathrooms: Both have 3 → equal
- Lot size: Property 1 has 0.01 Acres, Property 2 has 0.37 Acres → Property 2 has 0.36 Acres more (a significant difference; 3600 sqft vs 1000 sqft) → +2600 sqft for Property 2
- Year Built: Property 1 built in 1962, Property 2 in 1949 → Property 2 is 13 years older → older homes may have more character, but in a market where newer construction is valued, this is a minor point. However, in a 1949 home, it may have more original features, but without knowing the condition, we rely on market trends. In most markets, newer homes are more desirable due to updated systems and energy efficiency. But here, both have forced air and gas, and central cooling — so no advantage in systems.
- Heating & Cooling: Both have forced air, gas, and central cooling → equal
- Parking: Both have ""unknown"" → cannot compare → no advantage

Key differentiators:
- Property 2 has one more bedroom (4 vs 3)
- Property 2 has a much larger lot (0.37 vs 0.01 acres → 3700 sqft vs 1000 sqft)

Even though Property 1 is newer (1962 vs 1949), the lot size and bedroom count are substantial advantages for Property 2.

In real estate, lot size and bedroom count are strong drivers of value, especially in a single-family context.

CHOICE: 2",2.0,True,0.2741020793950851,hard,-1,0,13,-0.36,bedrooms_dominant,True
11393444,11506901,15236,2021/4/1,160051.4444,11.11111111,"Townhouse, Residential",1984,2,2,1200.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,160000.0,15236,2021/4/1,175567.4615,23.15384615,"Single Family Residence, Residential",1938,2,3,0.26,Acres,"Forced Air, Natural Gas",Central Air,unknown,205500.0,2.0,"Let's think step by step:

- Type: Property 1 is a Townhouse, Property 2 is a Single Family Residence. In most markets, Single Family Residences are generally more valuable than Townhouses due to greater privacy, space, and perceived independence. (P2 has advantage)

- Year Built: Property 1 was built in 1984, Property 2 in 1938. Property 1 is 46 years newer (1984 - 1938 = 46 years). Newer construction typically has more modern features and better efficiency, which increases value. (P1 has advantage)

- Bedrooms: Property 2 has 3 bedrooms vs Property 1's 2 bedrooms (+1 for P2). More bedrooms generally increase value. (P2 has advantage)

- Bathrooms: Both have 2 bathrooms. Equal. (No difference)

- Lot Size: Property 1 has 1200 sqft. Property 2 has 0.26 acres.  
  Convert 0.26 acres to sqft: 0.26 × 43,560 = 11,325.6 sqft.  
  So Property 2 has 11,325.6 sqft vs Property 1's 1200 sqft.  
  That’s a massive difference: over 10 times larger lot. (P2 has strong advantage)

- Heating: Both have Forced Air and Natural Gas. Equal. (No difference)

- Cooling: Both have Central Air. Equal. (No difference)

- Parking: Both have ""unknown"" — cannot compare. No advantage either way.

Now, comparing the key value drivers:
- Property 2 has more bedrooms (+1), a much larger lot (+10x), and is newer (46 years newer than P1).
- Property 1 is a townhouse (typically less valuable than single-family), and has a very small lot.

Even though Property 1 is newer in construction, the lot size and bedroom count in Property 2 provide significant value increases.

In the same market and zip code, lot size and bedroom count are strong indicators of value, especially when combined with a more desirable property type.

CHOICE: 2",2.0,True,0.284375,hard,-1,0,46,1199.74,bedrooms_dominant,True
